method,lambda,random_seed,h_norm,size_std,max_min_ratio,silhouette,ari,time,cluster_sizes,dataset
K-Means,0.0,17,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.06199526786804199,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,18,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.010794401168823242,"[100, 800, 100]",syn_3c_imbalance_80
K-Means,0.0,19,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.01051473617553711,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,20,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.012373208999633789,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,21,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.09004712104797363,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,22,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.015365839004516602,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,23,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.010796546936035156,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,24,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.060114383697509766,"[100, 800, 100]",syn_3c_imbalance_80
K-Means,0.0,25,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.014667749404907227,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,26,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.012419939041137695,"[100, 800, 100]",syn_3c_imbalance_80
K-Means,0.0,27,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.013026237487792969,"[100, 800, 100]",syn_3c_imbalance_80
K-Means,0.0,28,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.08639073371887207,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,29,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.016119718551635742,"[800, 100, 100]",syn_3c_imbalance_80
BKM,0.0,0,0.9999963566057615,0.9428090415820634,1.0060240963855422,0.09674019069882044,0.0720134363590928,0.015453100204467773,"[334, 334, 332]",syn_3c_imbalance_80
